,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_with_Bank,Total_Bank_Products,Months_Inactive,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Average_Monthly_Spend,Total_Amt_Chng_Q4_Q1,Total_Yearly_Spend,Total_Transaction_Count,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
0,768805383,Existing Customer,45,M,13,High School,Married,$60K - $80K,Blue,42,7,5,17,65749,1340,27360,2,3803,224,4,0
1,818770008,Existing Customer,49,F,26,Graduate,Single,Less than $40K,Blue,53,30,4,11,7719,5092,9810,3,5335,105,12,1
2,713982108,Existing Customer,51,M,16,Graduate,Married,$80K - $120K,Blue,43,20,4,0,3195,0,4536,6,7799,64,8,0
3,769911858,Existing Customer,40,F,17,High School,Unknown,Less than $40K,Blue,37,4,19,6,17164,4339,1828,2,3892,107,6,3
4,709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716,0,4716,2.175,816,28,2.5,0
5,713061558,Existing Customer,44,M,10,Graduate,Married,$40K - $60K,Blue,43,15,4,11,3749,7350,3667,3,4496,77,3,1
6,810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516,2264,32252,1.975,1330,31,0.722,0.066
7,818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,29,3,9,12,150662,2407,63577,3,5112,192,2,0
8,710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352,2517,19835,3.355,1350,24,1.182,0.113
9,719661558,Existing Customer,48,M,10,Graduate,Single,$80K - $120K,Blue,43,30,13,17,10897,9884,13244,3,5955,102,3,1
10,708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748,1467,5281,0.831,1201,42,0.68,0.217
11,710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095,1587,7508,1.433,1314,26,1.364,0.174
12,710599683,Existing Customer,56,M,3,College,Single,$80K - $120K,Blue,130,9,13,0,59053,0,10054,17,7501,11,16,0
13,816082233,Existing Customer,35,M,16,Graduate,Unknown,$60K - $80K,Blue,36,25,4,17,7991,9819,9132,3,5418,105,7,1
14,712396908,Existing Customer,57,F,10,Graduate,Married,Less than $40K,Blue,58,25,9,11,2277,4008,2330,3,6488,93,2,1
15,714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234,972,3262,1.707,1348,27,1.7,0.23
16,709967358,Existing Customer,48,M,21,Post-Graduate,Single,$80K - $120K,Blue,150,24,3,6,27312,6780,151125,10,7417,24,1,0
17,753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535,1291,12244,0.653,1028,21,1.625,0.095
18,806160108,Existing Customer,61,M,4,High School,Married,$40K - $60K,Blue,60,3,9,17,16542,4339,1552,3,4441,160,3,3
19,709327383,Existing Customer,45,F,10,Graduate,Married,Unknown,Blue,44,30,4,11,13528,6819,17668,2,4988,67,3,0
20,806165208,Existing Customer,47,M,3,Doctorate,Divorced,$60K - $80K,Blue,209,29,10,0,66972,3937,98475,2,1695,103,1,0
21,708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,59,10,13,17,1345,0,1909,2,2860,51,2,0
22,784725333,Existing Customer,41,M,13,High School,Married,$40K - $60K,Blue,36,6,9,6,23158,1172,8703,2,3095,96,4,1
23,811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492,1560,932,0.573,1126,23,0.353,0.626
